0	(4,5,2),(1,0,0)
1	(4,5,2),(1,0,0)
2	(4,5,2),(1,0,0)
3	(4,5,2),(1,0,0)
4	(4,5,3),(1,0,0)
5	(1,5,3),(5,0,0)
6	(1,0,0),(5,5,2)
7	(1,0,0),(5,5,2)
8	(1,0,0),(5,5,2)
9	(1,0,0),(5,5,2)
10	(1,0,0),(5,5,2)
11	(1,0,0),(5,5,1)
12	(1,0,0),(5,5,1)
13	(1,0,0),(5,5,1)
14	(1,5,0),(5,4,0)
15	(1,5,0),(5,4,0)
16	(1,5,0),(5,4,0)
17	(1,5,0),(5,4,0)
18	(1,0,0),(1,4,0)
19	(2,4,0),(2,4,0)
20	(2,5,0),(1,5,0)
21	(1,4,0),(1,4,0)
22	(1,4,0),(1,4,0)
23	(1,4,0),(1,4,0)
24	(1,4,0),(1,5,0)
25	(1,4,0),(1,5,0)
26	(5,5,0),(3,4,0)
27	(1,4,0),(1,4,1)
28	(4,4,0),(1,0,0)
29	(4,5,1),(1,0,0)
30	(4,5,1),(1,0,0)
31	(4,5,1),(1,0,0)
32	(4,5,1),(1,0,0)
33	(4,5,1),(1,0,0)
34	(4,5,1),(1,0,0)
35	(4,5,1),(1,0,0)
